epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.936,1.26548,0.02334,1.14652,0.91203,0.81412,0.88057,0.5657,1.21165,0.01827,1.12147,0.0670747,0.000332579,0.000332579
2,541.896,1.23168,0.01718,1.11632,0.91197,0.84237,0.8902,0.58356,1.19745,0.01571,1.11952,0.0340681,0.00065932,0.00065932
3,773.74,1.20795,0.01605,1.11058,0.91917,0.87563,0.91272,0.61565,1.17223,0.01431,1.09423,0.00105488,0.000979461,0.000979461
4,991.872,1.19476,0.01535,1.1007,0.91188,0.86241,0.91296,0.61679,1.19074,0.01544,1.1102,0.0009703,0.0009703,0.0009703
