epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.898,1.27025,0.02337,1.16091,0.89393,0.84853,0.88614,0.56567,1.2166,0.02029,1.1299,0.0670747,0.000332579,0.000332579
2,498.716,1.24027,0.01773,1.12127,0.88456,0.85604,0.90073,0.57874,1.199,0.01961,1.12918,0.0340681,0.00065932,0.00065932
3,739.169,1.21662,0.01653,1.115,0.90137,0.85011,0.89769,0.58852,1.22687,0.01818,1.1472,0.00105488,0.000979461,0.000979461
4,977.062,1.20258,0.01568,1.10902,0.93555,0.86241,0.92355,0.60215,1.2487,0.01509,1.12398,0.0009703,0.0009703,0.0009703
5,1206.03,1.17251,0.01473,1.08876,0.90946,0.8832,0.90278,0.58829,1.18141,0.01427,1.10813,0.0009604,0.0009604,0.0009604
6,1432.59,1.15683,0.01424,1.08279,0.93028,0.89431,0.93633,0.62363,1.16473,0.01411,1.0923,0.0009505,0.0009505,0.0009505
7,1668.65,1.14854,0.01379,1.07342,0.9251,0.88018,0.91556,0.60316,1.15827,0.01296,1.08454,0.0009406,0.0009406,0.0009406
8,1896.67,1.13747,0.01361,1.06927,0.92902,0.83827,0.91479,0.62951,1.14488,0.01366,1.06818,0.0009307,0.0009307,0.0009307
9,2127.03,1.14495,0.01358,1.06998,0.94895,0.88292,0.9409,0.64404,1.13571,0.01241,1.07511,0.0009208,0.0009208,0.0009208
10,2363.4,1.12481,0.01324,1.06132,0.95959,0.90884,0.9453,0.65127,1.13342,0.01177,1.0679,0.0009109,0.0009109,0.0009109
