epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.232,1.2693,0.99426,1.1572,0.96253,0.89385,0.9458,0.61559,1.18821,0.69308,1.11224,0.0669084,0.00016629,0.00016629
2,721.342,1.20941,0.71502,1.09746,0.96291,0.91845,0.95549,0.63848,1.17866,0.62318,1.0944,0.0337351,0.000326364,0.000326364
1,244.996,1.2693,0.99426,1.1572,0.96253,0.89385,0.9458,0.61559,1.18821,0.69308,1.11224,0.0669084,0.00016629,0.00016629
2,466.044,1.20941,0.71502,1.09746,0.96291,0.91845,0.95549,0.63848,1.17866,0.62318,1.0944,0.0337351,0.000326364,0.000326364
3,681.51,1.18356,0.66527,1.08635,0.94935,0.92118,0.95016,0.64374,1.15631,0.60942,1.07854,0.000555253,0.000479838,0.000479838
4,893.765,1.17161,0.63834,1.08199,0.97162,0.9204,0.95644,0.64912,1.19326,0.56491,1.09055,0.0004703,0.0004703,0.0004703
5,1105.35,1.14577,0.60459,1.06633,0.96711,0.92429,0.95909,0.64782,1.16732,0.54682,1.09026,0.0004604,0.0004604,0.0004604
6,1316.05,1.13406,0.58073,1.06116,0.97411,0.92756,0.96252,0.66543,1.1381,0.53311,1.06066,0.0004505,0.0004505,0.0004505
7,1537.62,1.12856,0.56528,1.05863,0.97627,0.92756,0.96477,0.66554,1.11944,0.51465,1.05685,0.0004406,0.0004406,0.0004406
8,1751.19,1.11444,0.55766,1.05574,0.98164,0.92553,0.96371,0.66889,1.12286,0.51583,1.06426,0.0004307,0.0004307,0.0004307
9,1968.52,1.11529,0.55856,1.05395,0.98316,0.93113,0.96221,0.67006,1.13775,0.50911,1.0665,0.0004208,0.0004208,0.0004208
10,2191.47,1.10333,0.53741,1.04698,0.97609,0.92984,0.9609,0.68039,1.12221,0.48642,1.05799,0.0004109,0.0004109,0.0004109
11,2406.41,1.09523,0.53106,1.04069,0.97384,0.93285,0.96654,0.68088,1.10146,0.48672,1.05183,0.000401,0.000401,0.000401
12,2624.35,1.09209,0.53161,1.0415,0.97789,0.93394,0.96517,0.67898,1.10264,0.49051,1.04597,0.0003911,0.0003911,0.0003911
13,2835.82,1.09328,0.52318,1.04515,0.98077,0.93349,0.96886,0.67902,1.11636,0.47615,1.05585,0.0003812,0.0003812,0.0003812
14,3049.12,1.07705,0.51243,1.038,0.98069,0.93759,0.96912,0.68203,1.09514,0.47588,1.04201,0.0003713,0.0003713,0.0003713
15,3265.74,1.08571,0.51398,1.04231,0.97736,0.94214,0.96995,0.68507,1.09513,0.46619,1.04146,0.0003614,0.0003614,0.0003614
16,3486.01,1.06628,0.49645,1.0285,0.97777,0.94185,0.96884,0.68594,1.08483,0.45914,1.03969,0.0003515,0.0003515,0.0003515
17,3706,1.05916,0.49246,1.03024,0.9856,0.9426,0.96939,0.68438,1.10803,0.45335,1.04136,0.0003416,0.0003416,0.0003416
18,3941.13,1.06014,0.49605,1.03137,0.97653,0.94305,0.97004,0.69008,1.09905,0.45592,1.04572,0.0003317,0.0003317,0.0003317
19,4156.86,1.06451,0.49494,1.0319,0.98189,0.93875,0.97144,0.69047,1.0893,0.45001,1.03458,0.0003218,0.0003218,0.0003218
20,4393.86,1.04609,0.48408,1.02636,0.98292,0.94379,0.97282,0.69014,1.09538,0.4459,1.04312,0.0003119,0.0003119,0.0003119
21,4638.38,1.04919,0.48092,1.02786,0.98071,0.94305,0.97325,0.69427,1.0919,0.43813,1.03469,0.000302,0.000302,0.000302
22,4870.55,1.04579,0.47651,1.02277,0.98272,0.93941,0.97006,0.69918,1.09353,0.44429,1.0317,0.0002921,0.0002921,0.0002921
23,5091.96,1.03791,0.47414,1.01656,0.98197,0.94311,0.97005,0.69152,1.09342,0.44299,1.03636,0.0002822,0.0002822,0.0002822
24,5317.38,1.03047,0.46741,1.01877,0.98799,0.9373,0.97433,0.69427,1.08851,0.4465,1.03833,0.0002723,0.0002723,0.0002723
25,5539.39,1.03536,0.46728,1.0207,0.9814,0.93748,0.96916,0.6959,1.0794,0.43462,1.03343,0.0002624,0.0002624,0.0002624
26,5762.98,1.02811,0.46533,1.01954,0.98097,0.9467,0.97117,0.69749,1.07905,0.43534,1.03124,0.0002525,0.0002525,0.0002525
27,5986.13,1.02012,0.45639,1.01415,0.98147,0.94077,0.97274,0.69538,1.09001,0.43386,1.03269,0.0002426,0.0002426,0.0002426
