epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8461.01,1.01514,0.01055,1.01011,0.97761,0.91489,0.96067,0.67837,1.0838,0.00946,1.03335,0.0005941,0.0005941,0.0005941
43,8660.44,1.00726,0.01061,1.00564,0.96908,0.92437,0.95968,0.67807,1.0852,0.00943,1.03801,0.0005842,0.0005842,0.0005842
44,8860.16,1.00466,0.01041,1.00593,0.97526,0.91936,0.9603,0.69124,1.07926,0.00941,1.03111,0.0005743,0.0005743,0.0005743
45,9059.96,1.00815,0.01039,1.01008,0.96471,0.92165,0.9571,0.67235,1.08428,0.00951,1.03697,0.0005644,0.0005644,0.0005644
46,9260.38,0.99931,0.01021,1.00142,0.98015,0.91936,0.95792,0.67707,1.08137,0.00936,1.03286,0.0005545,0.0005545,0.0005545
47,9460.34,1.00125,0.01023,1.00402,0.97486,0.91864,0.95667,0.68298,1.08397,0.00931,1.03537,0.0005446,0.0005446,0.0005446
48,9660.28,0.99444,0.01023,1.00393,0.97722,0.91867,0.95753,0.671,1.07889,0.00986,1.03495,0.0005347,0.0005347,0.0005347
49,9860.03,0.99314,0.01023,1.0047,0.97331,0.93049,0.96253,0.68563,1.08035,0.00912,1.03335,0.0005248,0.0005248,0.0005248
50,10059.7,0.99275,0.0102,1.00252,0.97412,0.92483,0.95988,0.68227,1.07718,0.00923,1.03517,0.0005149,0.0005149,0.0005149
51,10258.9,0.98624,0.01021,0.99861,0.97837,0.92728,0.95908,0.68644,1.07017,0.00896,1.02761,0.000505,0.000505,0.000505
52,10464.1,0.99054,0.01017,1.00065,0.97504,0.9255,0.95876,0.67942,1.07757,0.00923,1.03036,0.0004951,0.0004951,0.0004951
53,10664,0.98418,0.01002,0.99767,0.97878,0.92392,0.96059,0.68147,1.0768,0.00923,1.03144,0.0004852,0.0004852,0.0004852
54,10863.9,0.98684,0.01007,0.99683,0.97733,0.92324,0.96121,0.68003,1.08061,0.00911,1.03456,0.0004753,0.0004753,0.0004753
